               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.038033,            0.018512,            0.014654,             0.73267,             0.78649,             0.85103,             0.60622,             0.02526,           0.0075882,           0.0089106,              0.0937,              0.0007,              0.0007
                   1,            0.036016,            0.020192,            0.015151,             0.74597,             0.75161,             0.85663,             0.60923,            0.024145,           0.0075767,           0.0094464,             0.08647,           0.0014703,           0.0014703
                   2,            0.033424,            0.019354,            0.015748,             0.72725,             0.76895,             0.85462,             0.60825,            0.025056,           0.0075288,            0.009523,            0.079209,           0.0022089,           0.0022089
                   3,            0.031859,            0.017894,            0.010823,             0.78361,             0.76306,              0.8555,              0.5686,            0.027643,           0.0075255,           0.0094857,            0.071916,           0.0029159,           0.0029159
                   4,            0.036826,            0.019331,            0.012162,             0.79889,             0.75779,             0.85967,             0.59378,            0.028364,           0.0072073,           0.0082619,            0.064591,           0.0035911,           0.0035911
                   5,            0.038132,            0.019268,            0.011679,             0.76577,             0.69955,             0.83694,             0.45496,            0.034758,           0.0074728,           0.0089069,            0.057235,           0.0042347,           0.0042347
                   6,            0.042009,            0.018448,            0.011673,             0.82688,             0.72033,             0.86309,             0.43481,            0.031474,           0.0074374,           0.0087813,            0.049847,           0.0048466,           0.0048466
                   7,            0.040153,             0.01955,            0.012805,             0.68416,             0.74774,             0.75357,             0.39567,            0.030253,           0.0082347,           0.0077629,            0.042427,           0.0054268,           0.0054268
                   8,            0.039504,            0.019072,            0.011343,             0.52781,             0.65411,             0.65325,             0.29668,            0.037041,           0.0082891,           0.0077921,            0.034975,           0.0059754,           0.0059754
                   9,            0.042948,            0.019388,            0.010307,             0.60763,             0.85114,              0.7532,             0.39004,            0.037928,           0.0078896,           0.0078558,            0.027492,           0.0064922,           0.0064922
                  10,            0.046828,            0.020571,            0.010877,              0.7838,             0.87868,             0.88495,             0.41639,            0.035745,           0.0077365,           0.0078423,            0.019977,           0.0069774,           0.0069774
                  11,            0.043805,             0.01992,           0.0099423,             0.68474,             0.85379,             0.84822,              0.3196,            0.042718,           0.0077736,           0.0090999,            0.012431,           0.0074309,           0.0074309
                  12,            0.044581,            0.020172,            0.010002,             0.71979,             0.79654,             0.84275,              0.3737,             0.03666,           0.0081785,           0.0091911,            0.007624,            0.007624,            0.007624
                  13,            0.046332,            0.019523,            0.010705,             0.74051,             0.80207,             0.79923,             0.36138,            0.037966,           0.0082636,            0.006633,            0.007624,            0.007624,            0.007624
                  14,            0.042634,            0.019811,           0.0090888,              0.8414,             0.80297,             0.89919,             0.39718,            0.043121,           0.0078486,           0.0057145,            0.007426,            0.007426,            0.007426
                  15,            0.045303,            0.019972,           0.0089516,             0.73939,             0.81733,             0.82938,             0.35786,            0.045024,           0.0078217,           0.0055871,            0.007228,            0.007228,            0.007228
                  16,            0.044164,            0.017567,           0.0087784,             0.78571,             0.85917,             0.86591,             0.45071,            0.038719,           0.0078175,           0.0046703,             0.00703,             0.00703,             0.00703
                  17,            0.041917,            0.018102,           0.0087394,             0.69882,             0.82615,             0.76222,             0.36245,            0.038813,           0.0076435,           0.0056314,            0.006832,            0.006832,            0.006832
                  18,            0.041728,            0.020987,           0.0073698,             0.86076,             0.85209,             0.89391,             0.44162,            0.041972,           0.0076353,           0.0033337,            0.006634,            0.006634,            0.006634
                  19,            0.042074,            0.019607,           0.0065801,             0.78262,             0.86425,             0.88276,             0.44026,            0.040319,           0.0082715,           0.0034885,            0.006436,            0.006436,            0.006436
                  20,            0.039303,            0.019518,           0.0076763,             0.87785,             0.86455,             0.94243,             0.51404,             0.03985,           0.0080149,           0.0030261,            0.006238,            0.006238,            0.006238
                  21,            0.038702,            0.017677,           0.0066665,             0.87145,             0.85154,             0.90461,             0.54335,            0.034236,           0.0075114,           0.0025071,             0.00604,             0.00604,             0.00604
                  22,            0.035947,            0.018144,           0.0077082,             0.95308,             0.88354,             0.96629,              0.6071,            0.031547,           0.0075578,           0.0022573,            0.005842,            0.005842,            0.005842
                  23,            0.039952,            0.017936,           0.0059333,             0.90158,             0.87758,             0.95288,             0.53665,            0.033885,           0.0075244,            0.002024,            0.005644,            0.005644,            0.005644
                  24,            0.038953,            0.017688,           0.0066624,             0.90579,             0.93444,             0.93289,              0.5971,            0.030844,           0.0073445,           0.0018163,            0.005446,            0.005446,            0.005446
                  25,            0.037465,            0.017579,            0.005423,             0.94762,              0.9161,             0.97991,             0.64305,            0.029545,           0.0071867,           0.0018548,            0.005248,            0.005248,            0.005248
                  26,            0.038279,            0.020373,           0.0059576,             0.93877,             0.96488,             0.98628,             0.64996,            0.029676,           0.0070727,           0.0019719,             0.00505,             0.00505,             0.00505
                  27,            0.035145,            0.017766,           0.0048772,             0.92701,             0.95902,             0.98469,              0.6181,            0.029115,           0.0070937,           0.0019988,            0.004852,            0.004852,            0.004852
                  28,            0.037669,            0.019232,           0.0053719,             0.94413,             0.94178,             0.98628,             0.69286,            0.027408,           0.0069475,           0.0021009,            0.004654,            0.004654,            0.004654
                  29,            0.035183,            0.018692,           0.0052093,             0.90755,              0.9041,             0.97663,             0.63752,            0.028168,           0.0069759,             0.00349,            0.004456,            0.004456,            0.004456
                  30,            0.033111,            0.018662,           0.0048539,             0.88914,             0.96634,             0.97933,             0.61022,            0.032113,           0.0067933,           0.0017841,            0.004258,            0.004258,            0.004258
                  31,            0.033576,            0.018089,           0.0065455,             0.96598,             0.92721,             0.98605,             0.67628,            0.027115,           0.0068799,           0.0013427,             0.00406,             0.00406,             0.00406
                  32,            0.036366,            0.017162,           0.0043231,             0.96685,             0.92864,             0.99007,             0.70318,            0.026528,           0.0067848,           0.0016204,            0.003862,            0.003862,            0.003862
                  33,            0.032954,            0.018781,           0.0055859,             0.96754,              0.9539,             0.99097,             0.72968,            0.025367,           0.0066932,           0.0015509,            0.003664,            0.003664,            0.003664
                  34,            0.035272,            0.018156,            0.004812,             0.98434,             0.95568,             0.99181,             0.70855,            0.024731,           0.0066506,           0.0012609,            0.003466,            0.003466,            0.003466
                  35,            0.033098,            0.017832,            0.004303,              0.9805,             0.96503,             0.99145,             0.68109,            0.026941,           0.0066226,           0.0011881,            0.003268,            0.003268,            0.003268
                  36,            0.037521,            0.018638,           0.0055572,              0.9843,             0.97513,             0.99277,             0.70432,            0.024048,           0.0065607,           0.0010986,             0.00307,             0.00307,             0.00307
                  37,            0.032166,            0.017263,           0.0045263,             0.98003,             0.96404,             0.99141,             0.71469,            0.024476,           0.0065498,           0.0013718,            0.002872,            0.002872,            0.002872
                  38,            0.033605,            0.018317,           0.0032721,              0.9877,             0.98281,             0.99315,             0.72386,            0.024335,           0.0064281,            0.001336,            0.002674,            0.002674,            0.002674
                  39,            0.030856,            0.017394,           0.0042581,             0.97262,             0.95871,             0.99208,             0.73094,            0.022353,           0.0063463,           0.0015341,            0.002476,            0.002476,            0.002476
                  40,            0.033302,            0.018528,           0.0052529,             0.98919,             0.97454,             0.98773,              0.7191,            0.024751,           0.0063797,           0.0012191,            0.002278,            0.002278,            0.002278
                  41,            0.032776,            0.016982,           0.0046478,              0.9836,             0.98303,             0.99229,             0.74408,            0.024019,           0.0061603,          0.00097791,             0.00208,             0.00208,             0.00208
                  42,            0.029132,            0.018782,           0.0058812,             0.98866,             0.98908,             0.99309,             0.75547,            0.022914,           0.0060632,          0.00085942,            0.001882,            0.001882,            0.001882
                  43,            0.029728,            0.017872,           0.0045557,             0.99771,             0.97993,             0.99359,             0.76271,            0.020563,           0.0059422,          0.00078309,            0.001684,            0.001684,            0.001684
                  44,            0.032985,            0.017715,           0.0041329,             0.99199,             0.97568,             0.99339,             0.77913,            0.019622,           0.0059307,          0.00076324,            0.001486,            0.001486,            0.001486
                  45,            0.030212,            0.016594,           0.0032252,             0.99011,             0.98246,             0.99399,             0.78389,            0.019998,           0.0058566,          0.00073181,            0.001288,            0.001288,            0.001288
                  46,            0.032595,            0.017293,           0.0048381,             0.99011,             0.98303,               0.994,             0.78609,            0.019267,           0.0058182,          0.00070808,             0.00109,             0.00109,             0.00109
                  47,             0.03419,            0.016225,           0.0037666,             0.99198,             0.97989,               0.994,             0.79403,             0.01902,           0.0057921,          0.00068712,            0.000892,            0.000892,            0.000892
                  48,            0.027669,            0.016009,           0.0025545,             0.99381,             0.98819,             0.99437,             0.80072,            0.018467,           0.0057236,           0.0006682,            0.000694,            0.000694,            0.000694
                  49,            0.027624,            0.015945,           0.0028494,             0.99513,             0.98731,             0.99454,             0.79672,             0.01859,           0.0056846,          0.00065913,            0.000496,            0.000496,            0.000496
